Broad,Narrow,Keyword,Role,Severity,Score
Code Editor,IDE,VS Code,Developer,High,95
Code Editor,IDE,IntelliJ,Developer,High,95
Code Editor,Text Editor,Sublime Text,Developer,Medium,80
Code Editor,Text Editor,Atom,Developer,Medium,75
Code Editor,Text Editor,Notepad++,Developer,Low,60
Code Editor,Terminal,Vim,Developer,Medium,70
Code Editor,Terminal,Emacs,Developer,Medium,70
Terminal,Shell,Bash,Developer,High,90
Terminal,Shell,Zsh,Developer,High,90
Terminal,Shell,PowerShell,Developer,Medium,85
Terminal,Utility,iTerm2,Developer,Medium,85
Terminal,Utility,Windows Terminal,Developer,Medium,80
Terminal,Utility,Cmder,Developer,Low,70
Terminal,Utility,Alacritty,Developer,Low,70
Version Control,System,Git,Developer,High,98
Version Control,Review,Pull Request Reviews,Developer,High,95
Version Control,Platform,GitHub,Developer,High,95
Version Control,Platform,GitLab,Developer,High,95
Version Control,Platform,Bitbucket,Developer,High,90
Version Control,System,Mercurial,Developer,Low,50
Version Control,System,SVN,Developer,Low,50
Tools,Containerization,Docker,Developer,High,95
Tools,API Testing,Postman,Developer,High,90
Tools,API Specification,Swagger,Developer,Medium,80
Tools,Database Client,MySQL Workbench,Developer,High,85
Tools,Database Client,pgAdmin,Developer,High,85
Tools,Database Client,MongoDB Compass,Developer,High,85
Tools,Browser Dev,Console,Developer,High,95
Tools,Browser Dev,Network,Developer,High,95
Tools,Browser Dev,Elements,Developer,High,95
Tools,Browser Dev,Performance,Developer,Medium,85
Tools,CI/CD,Jenkins,Developer,High,90
Tools,CI/CD,GitHub Actions,Developer,High,90
Tools,CI/CD,GitLab CI,Developer,High,90
Tools,Cloud Platform,AWS Console,Developer,High,90
Tools,Cloud Platform,Azure Portal,Developer,High,90
Tools,Cloud Platform,Google Cloud Console,Developer,High,90
Tools,Testing Framework,Jest,Developer,High,85
Tools,Testing Framework,Mocha,Developer,High,85
Tools,Testing Framework,Selenium,Developer,Medium,80
Tools,Testing Framework,Cypress,Developer,Medium,80
Tools,Package Manager,npm,Developer,High,95
Tools,Package Manager,Yarn,Developer,High,95
Communication,Collaboration,Slack,Developer,High,90
Communication,Collaboration,Microsoft Teams,Developer,High,90
Documentation,Wiki,Confluence,Developer,High,85
Documentation,Markdown,Markdown editor,Developer,High,90
Workflow,Agile,Scrum,Developer,High,90
Workflow,Agile,Kanban,Developer,High,90
Workflow,Code Review,Pull Requests,Developer,High,98
Workflow,Debugging,Breakpoints,Developer,High,95
Workflow,Debugging,Logs,Developer,High,95
Workflow,Deployment,Staging environment,Developer,High,90
Workflow,Monitoring,Grafana,Developer,High,85
Workflow,Monitoring,Prometheus,Developer,High,85
Workflow,Issue Tracking,JIRA,Developer,High,95
