Broad,Narrow,Keyword,Role,Severity,Score
Communication,Email,Outlook,Office Worker,High,95
Communication,Email,Gmail,Office Worker,High,90
Communication,Collaboration,Microsoft Teams,Office Worker,High,90
Communication,Collaboration,Slack,Office Worker,High,85
Communication,Video Conferencing,Zoom,Office Worker,High,85
Communication,Video Conferencing,Google Meet,Office Worker,High,80
Documentation,Office Suite,Microsoft Word,Office Worker,High,95
Documentation,Office Suite,Google Docs,Office Worker,High,90
Documentation,Spreadsheet,Microsoft Excel,Office Worker,High,95
Documentation,Spreadsheet,Google Sheets,Office Worker,High,90
Documentation,Presentation,Microsoft PowerPoint,Office Worker,High,90
Documentation,Presentation,Google Slides,Office Worker,High,85
Documentation,Note Taking,OneNote,Office Worker,Medium,75
Documentation,Note Taking,Evernote,Office Worker,Medium,70
Documentation,Project Management,Asana,Office Worker,High,85
Documentation,Project Management,Trello,Office Worker,High,80
Documentation,File Management,SharePoint,Office Worker,High,90
Documentation,File Management,Google Drive,Office Worker,High,90
Browser,General Browse,Company intranet,Office Worker,High,95
Browser,General Browse,News sites (work-relevant),Office Worker,Medium,60
Browser,General Browse,Research websites,Office Worker,High,85
Tools,PDF Reader,Adobe Acrobat Reader,Office Worker,High,90
Tools,Calendar,Outlook Calendar,Office Worker,High,95
Tools,Calendar,Google Calendar,Office Worker,High,90
Workflow,Meeting,Attending meetings,Office Worker,High,95
Workflow,Scheduling,Scheduling appointments,Office Worker,High,90
Workflow,Document Creation,Creating reports,Office Worker,High,90
Workflow,Information Retrieval,Searching company knowledge base,Office Worker,High,90
